index,rank,book,german,english,gender,german_sentence,english_sentence
8781,8731,4,der Zaubertrick,the magic trick,M,Sein ganzer Fall ist nur ein Zaubertrick.,His whole case is a magic trick.
8782,8732,4,der Samariter,the Samaritan,M,Der gute Samariter bringt ihn ins Krankenhaus.,The Good Samaritan is taking him to the hospital.
8783,8733,4,interstellar,interstellar,adj,Er wird einen interstellaren Krieg beginnen.,He's going to start an interstellar war.
8784,8734,4,die Orientierung,the orientation,F,Werte wie Autonomie oder Solidarität gehören zu unserer alltäglichen,Values such as autonomy or solidarity are part of our everyday orientation.
8785,8735,4,die Überlebenschance,the chances of survival,F,Deine Überlebenschance liegt bei eins zu tausend.,Your chances of survival are about one in a thousand.
8786,8736,4,entspannend,relaxing,adj,Die meisten von unseren Patienten finden das sehr entspannend.,Many of the doctor's patients find it very relaxing.
8787,8737,4,der Zins,the interest / rent (AT),M,"Ich zahle es dir zurück, mit festem Zins.","I'm paying you back, with interest."
8788,8738,4,der Rächer,the avenger,M,Und Rache zerstört immer den Rächer.,And vengeance always destroys the avenger.
8789,8739,4,unrealistisch,unrealistic / unrealistically,adj,"Das halten viele für ehrgeizig, aber nicht für unrealistisch.","Many regard this as ambitious, but not unrealistic."
8790,8740,4,das Sonderkommando,the special forces,N,"Jetzt werden alle glauben, dass ich beim Sonderkommando bin.","Now, everybody will know I'm in the special forces."
8791,8741,4,unzerstörbar,indestructible,adj,"Wir müssen unseren Kindern beibringen, dass die Welt nicht unzerstörbar ist.",We have to teach the kids that the world is not indestructible.
8792,8742,4,ausspionieren,to spy on,vb,Er würde Ihre Regierung nie ausspionieren.,He wouldn't even spy on your government.
8793,8743,4,der Gehweg,the sidewalk,M,Sie dürfen auf dem Gehweg verkaufen.,You're licensed to sell on the sidewalk.
8794,8744,4,die Gendarmerie,the police (AT),F,Dich bringe ich persönlich zur Gendarmerie.,I'll take you to the police myself.
8795,8745,4,seitens,on the part of,prp,Höhere Beiträge seitens des Arbeitgebers wurden als rechtmäßig erachtet.,Higher contributions on the part of the employer were held to be valid.
8796,8746,4,ausradieren,to erase,vb,Und man kann Kreide nicht einfach so ausradieren.,"You know, you can't just erase chalk."
8797,8747,4,herkriegen,to get (coll),vb,"Ich weiß, wo wir alles herkriegen.",I know where to get what we need.
8798,8748,4,disziplinieren,to discipline,vb,"Wie wir unsere Kinder disziplinieren, geht niemanden etwas an.",How we discipline our children is none of anybody's business.
8799,8749,4,der Tischler,the carpenter,M,Mit einem Tischler wäre ich nicht glücklich.,I don't think I'd be happy with a carpenter.
8800,8750,4,die Personalabteilung,the human resources,F,Die Personalabteilung will morgen mit mir reden.,Human Resources department wants to talk to me tomorrow.
8801,8751,4,überrumpeln,to take by surprise,vb,"Glauben Sie nicht, dass wir uns noch einmal überrumpeln lassen.",Don't imagine for a moment we're going to be taken by surprise again.
8802,8752,4,riesengroß,huge,adj,Sogar die Küche ist riesengroß hier.,Even the kitchen in this place is huge.
8803,8753,4,entspringen,to spring from / originate,vb,Wunder der Natur entspringen aus unwahrscheinlichen Kombinationen.,Nature's miracles spring from unlikely combinations.
8804,8754,4,schizophren,schizophrenic / schizophrenically,adj,"Er ist schizophren, mitten in einem psychotischen Anfall.","He's schizophrenic, in the middle of a psychotic episode."
8805,8755,4,auskosten,to savor,vb,Ich wollte diesen Moment auskosten.,I wanted to savor that moment.
8806,8756,4,das Bankwesen,the banking (industry),N,Dies trifft insbesondere auf das Finanz- und Bankwesen zu.,This is particularly true in finance and banking.
8807,8757,4,der Gewehrschuss,the gunshot,M,Habe ich hier gerade einen Gewehrschuss gehört?,Did I just hear a gunshot?
8808,8758,4,der Sandsturm,the sandstorm,M,In der Nacht muss es einen Sandsturm gegeben haben.,There must have been a sandstorm during the night.
8809,8759,4,wundersam,miraculous / miraculously,adj,"Erst vergiften Sie mich, um mich dann wundersam zu heilen?","First, poison me, then miraculously cure me?"
8810,8760,4,der Wortschatz,the vocabulary,M,In Grammatik und Wortschatz unterscheiden sich einige Dialekte erheblich,"In grammar and vocabulary, some dialects differ significantly from the"
8811,8761,4,abzüglich,minus / deducting,prp,"Ihr Vermögen ist jetzt frei, abzüglich meines Prozentsatzes.","Your funds are now set free, minus my percentage."
8812,8762,4,unvermeidbar,inevitable,adj,Dieser Zustand ist weder notwendig noch unvermeidbar.,This state of affairs is neither necessary nor is it inevitable.
8813,8763,4,zahm,tame / tamely,adj,"Dieses Kamel ist so zahm, dass es jeder reiten kann.",This camel is so tame that anyone can ride it.
8814,8764,4,ergo,ergo,adv,"Wir haben aber keinen Zugang zum Haus, ergo, wir sind erledigt.","We've been denied access to the building, ergo we are done."
8815,8765,4,das Kreuzfeuer,the crossfire,N,Ich möchte die Polizei nicht im Kreuzfeuer haben.,I don't want the police caught in the crossfire.
8816,8766,4,der Mordversuch,the attempted murder,M,"Wir glauben, es war ein Mordversuch.",We believe it was attempted murder.
8817,8767,4,der Wandschrank,the closet,M,Mein Vater versteckte mich im Wandschrank.,My father hid me in the closet.
8818,8768,4,das Einzelkind,the only child,N,"Ein Einzelkind zu sein, hat wohl auch Vorteile.",I guess being an only child does have some perks.
8819,8769,4,die Verteilung,the distribution,F,Ein gutes Rangsystem muss diese Verteilung wiedergeben.,A good ranking system will have to show such a distribution.
8820,8770,4,die Auslieferung,the delivery / extradition,F,Letztes Jahr jedoch forderte Polen plötzlich die Auslieferung dieses,"However, last year, Poland suddenly demanded this entrepreneur's extradition."
8821,8771,4,Makkaroni,macaroni,,Vom Geruch von Makkaroni mit Käse wird mir schlecht.,The smell of macaroni and cheese makes me nauseous.
8822,8772,4,das Murmeltier,the groundhog,N,Wird das Murmeltier seinen Schatten sehen?,Will the groundhog see his shadow?
8823,8773,4,das Namensschild,the name tag,N,Die andere Ärztin hatte ein Namensschild an ihrem Kittel.,The other doctor had a name tag on her coat.
8824,8774,4,absaugen,to exhaust / exhausting,vb,Vorrichtung zum Absaugen von Küchendunst.,Device for exhausting kitchen fume.
8825,8775,4,der Präfekt,the prefect,M,Der Präfekt hat mit dem Feuerwehrhauptmann geredet.,The Prefect talked to the fire chief.
8826,8776,4,blubbern,to bubble (coll),vb,Es blubbert und kocht da oben.,It's bubbling and boiling in there.
8827,8777,4,das Haupttor,the main gate,N,Gehen Sie mit den anderen zum Haupttor.,Just get down to the main gate with everyone else.
8828,8778,4,knackig,crisp,adj,Es macht den Salat knackig.,It keeps lettuce crisp.
8829,8779,4,kollektiv,collective / collectively,adj,"Die Arbeit ist kollektiv, einer unterstützt den anderen, es gibt Einigkeit und",Work is collective; the one supports the other; there are agreement and
8830,8780,4,das Ödland,the wasteland,N,"Es ist ein gesetzloses, postapokalyptisches Ödland.","It's a lawless, post-apocalyptic wasteland."
8831,8781,4,das Trainingslager,the training camp,N,Dort hatten wir ein echt gutes Trainingslager.,And we had a really good training camp over there.
8832,8782,4,Meeresfrüchte,the seafood,pl,"Verbraucher möchten mehr über die Fische und Meeresfrüchte wissen, die sie",Consumers want to know more about the fish and seafood they buy.
8833,8783,4,der Stammkunde,the regular (customer),M,"Wie ich sehe, immer noch ein Stammkunde hier.","Still a regular here, I see."
8834,8784,4,die Wiedervereinigung,the reunion,F,Ich werde für die sichere Wiedervereinigung deiner Familie beten.,I'll be praying for the safe reunion of your family.
8835,8785,4,der Täufer,the baptist,M,"Ich habe sogar John nach Johannes, den Täufer, benannt.",I even named John after John the Baptist.
8836,8786,4,multipel,multiple (fml),adj,Ich habe meine eigene multiple Persönlichkeit etwas satt.,"Well, I think I'm a little fed up with my own multiple personalities."
8837,8787,4,die Fruchtblase,the water / amniotic sac,F,"Deswegen habe ich dich gestern angerufen, als meine Fruchtblase geplatzt ist.",That's why I called you yesterday after my water broke.
8838,8788,4,der Ansturm,the rush,M,Ich fühle einen Ansturm von Hormonen aufkommen.,I'm feeling a rush of hormones coming on.
8839,8789,4,rüberbringen,to convey (coll),vb,Das wollte ich von Anfang an rüberbringen.,That's what I've been trying to convey since the beginning.
8840,8790,4,die Morgendämmerung,the dawn,F,"Die Leute denken, sie erscheint erst in der Morgendämmerung.",They think it appears only at dawn.
8841,8791,4,genehm,convenient (fml),adj,Wir sind nicht länger genehm.,We're no longer convenient.
8842,8792,4,verschleiern,to conceal,vb,Er wollte nur die wahre Situation verschleiern.,He wanted to conceal his real situation.
8843,8793,4,die Einöde,the wasteland,F,Und der ganze Planet ist eine Einöde.,And the entire planet is a wasteland.
8844,8794,4,die Galeere,the galley,F,Die Galeere Seiner Majestät ist gesunken.,They say that His Majesty's galley has sunk.
8845,8795,4,die Zwangsarbeit,the forced labor,F,Diese Menschen haben keine Wahl: entweder Zwangsarbeit oder Gefängnis.,These people have no choice: either forced labor or prison.
8846,8796,4,benebeln,to mist / befuddle,vb,"Ich will mir das Hirn nicht benebeln, wenn ich als Einziger die",I won't have my mind befuddled by chemicals when I'm the only one who
8847,8797,4,mühelos,easily / effortless,adv,Wir können außerdem mühelos 2D-Zeichnungen für unsere Fertigung,We can also easily produce 2D drawings for our manufacturing operations.
8848,8798,4,das Platin,the platinum,N,Bevorzugte kein Karbid bildende Metalle sind Rhenium oder Platin.,Preferred metals which do not form carbide are rhenium or platinum.
8849,8799,4,der Stierkampf,the bullfight,M,"Ich will, dass ihr den Stierkampf absagt.",I want you to cancel this bullfight.
8850,8800,4,der Schweinestall,the pigsty,M,Der Schweinestall da ist sein Zimmer.,That pigsty there is his room.
8851,8801,4,die Bestattung,the funeral,F,Wir bieten Ihnen eine komplette Bestattung zu einem sehr günstigen Preis.,We offer a complete funeral at a very reasonable price.
8852,8802,4,der Dackel,the dachshund,M,"Erst nachdem er sicher gewesen war, dass sein Dackel sein Abendessen hatte.",Not until he made sure his dachshund had had his dinner.
8853,8803,4,überschlagen,to skip / lukewarm,vb,"Überschlagen Sie diesen Teil, falls Sie Laptop-Mode benutzen.",Skip this if you are using laptop-mode.
8854,8804,4,seiden,silk,adj,John trägt gewöhnlich seidene Schlafanzüge.,John usually wears silk pajamas.
8855,8805,4,schlaflos,sleepless / sleeplessly,adj,Die Nacht war bestimmt wieder schlaflos.,I'm sure it was another sleepless night.
8856,8806,4,der Schiffbruch,the shipwreck,M,Ich träumte letzte Nacht von einem Schiffbruch.,I dreamed last night of a shipwreck.
8857,8807,4,das Schachspiel,the chess,N,Beim Schachspiel bezeichnet man diesen Zug als Opfer.,"In chess, we call that move a sacrifice."
8858,8808,4,erdenklich,imaginable / imaginably,adj,Schließlich erobern Menschen jedes erdenkliche Terrain.,"Eventually, humans will conquer every imaginable terrain."
8859,8809,4,der Lustmolch,the lecher (coll),M,Sie geht diesem Lustmolch in die Falle.,She's falling into the trap of that lecher.
8860,8810,4,der Fortschritt,the progress,M,Außerhalb der konstitutionellen Verhandlungen gab es beträchtlichen,"Away from the constitutional negotiations, there was significant progress."
8861,8811,4,erhellen,to lighten (up),vb,Aber du hast den Himmel für mich erhellt.,But you lit up the sky for me.
8862,8812,4,aufwischen,to clean up,vb,"Jane, bevor du gehst, könntest du das da aufwischen auf dem Boden?","Jane, before you go, could you clean up this mess."
8863,8813,4,die Kajüte,the cabin,F,Er muss in der Kajüte gewesen sein.,He must've been in the cabin the whole time.
8864,8814,4,wohlbehalten,safe and sound,adj,"Das heißt natürlich nicht, dass ich nicht überglücklich war, Sie wohlbehalten",That's not to say I wasn't elated to see you safe and sound.
8865,8815,4,der Heide,the pagan / heather,M,"Ihm bedeutet dein Wort nichts, du bist ein Heide.","To him your word means nothing, you are a pagan."
8866,8816,4,die Polka,the polka,F,"Sehr lebhafte, russische Polka, die zum Tanzen einlädt.","Very lively, Russian Polka which makes you want to dance."
8867,8817,4,selbstlos,selfless / selflessly,adj,Du warst das erste Mal wahrhaft selbstlos.,"For the first time, you were truly selfless."
8868,8818,4,herausschneiden,to cut out,vb,Und jetzt werde ich es herausschneiden.,Now I'm going to cut it out.
8869,8819,4,navigieren,to navigate,vb,Viele Insekten navigieren anhand magnetischer Felder.,A lot of insects use magnetic fields to navigate.
8870,8820,4,keusch,chaste / chastely,adj,Wir sollen bis zur Ehe keusch bleiben.,We should remain chaste until marriage.
8871,8821,4,ausreiten,to ride out,vb,"Ich sollte mich auf den Weg machen, wenn ich vor der Dämmerung ausreiten",I should be on my way if I want to ride out before nightfall.
8872,8822,4,das Lämmchen,the lambkin,N,"Sir John, dein zartes Lämmchen ist König nun.","Sir John, your tender lambkin now is queen."
8873,8823,4,geraum,considerable,adj,Dieser Fall beschäftigt den Petitionsausschuss nun schon einen geraumen,The Committee on Petitions has been working on this case for a considerable
8874,8824,4,wohltätig,benevolent / benevolently,adj,Ich bin heute sehr wohltätig.,I'm feeling very benevolent today.
8875,8825,4,hinauswerfen,to throw out,vb,"Aber wenn Sie dann nicht weg sind, lasse ich Sie hinauswerfen.","But if you're not gone by then, I'm going to have you thrown out."
8876,8826,4,der Racker,the rascal (coll),M,"Er klingt nach einem Racker, aber ich werde schon mit ihm klarkommen.","He sounds like a rascal, but I don't think it's anything I can't handle."
8877,8827,4,wehrlos,defenseless / defenselessly,phr,Sie sind wehrlos und wollen Zeit schinden.,You're defenseless and just playing for time.
8878,8828,4,liquidieren,to unwind / liquidate,vb,Er würde Ihre Firma liquidieren und Ihre Vermögenswerte verkaufen.,He'd liquidate the company and sell off its assets.
8879,8829,4,das Wunderland,the wonderland,N,"Wo ist dieses utopische Wunderland, das sie uns versprochen hat?",Where is that Utopian wonderland she promised us?
8880,8830,4,die Augenfarbe,the eye color,F,Wir diskutieren nie über Größe oder Augenfarbe.,We never argue about height or eye color.
8881,8831,4,begierig,eager / eagerly,adj,"Sei nicht so begierig, einen Fehler zu machen.",Don't be so eager to make a mistake.
8882,8832,4,das Geschehnis,the incident,N,Wie beurteilt die Kommission dieses neue Geschehnis?,What is the Commission's position on this new incident?
8883,8833,4,die Zauberkraft,the magic (power),F,Ohne seine Hilfe verliere ich die Kontrolle über meine Zauberkraft.,"Without his help, I'll lose control of my magic."
8884,8834,4,der Arier,the Aryan,M,Ich entspreche nicht mehr seinem Bild vom idealen Arier.,I no longer reflect his image of Aryan perfection.
8885,8835,4,paddeln,to paddle,vb,"Ich versuche ans Ufer zu paddeln, ohne zu kentern.",I'll try and paddle back to shore without tipping in.
8886,8836,4,angeboren,inherent / inherently,adj,Der Drang nach Wissen ist jedem Menschen angeboren.,The urge to know is inherent in each human being.
8887,8837,4,minder,less / inferior,adv,Dennoch sind die Übergriffe nicht minder besorgniserregend.,But this does not make the attacks any less worrying.
8888,8838,4,verhöhnen,to mock,vb,"Bist du extra hergekommen, um mich zu verhöhnen?",Did you come all this way to mock me?
8889,8839,4,der Aufrührer,the rebel,M,"Du warst ein Aufrührer, bevor du den Süden kanntest.",You were a rebel before you ever saw the South.
8890,8840,4,übermütig,over-confident,adj,Ich bin da überhaupt nicht übermütig.,"In that respect, I am by no means overconfident."
8891,8841,4,ungenau,inaccurate / inaccurately,adj,"Mit anderen Worten, der Bericht war ungenau.","In other words, the report was inaccurate."
8892,8842,4,fertigstellen,to finish,vb,Ein anderer Regisseur musste den Film fertigstellen.,He was forced to let another director finish the film.
8893,8843,4,das Manifest,the manifesto,N,Ich bin ein Hacker und dies ist mein Manifest.,"I am a hacker, and this is my manifesto."
8894,8844,4,die Wohltätigkeit,the charity,F,Seine Familie praktiziert noch aktive Wohltätigkeit.,But his family still runs an active charity.
8895,8845,4,vorankommen,to progress,vb,"Es ist wichtig, dass wir schnell vorankommen.",It is imperative that we progress quickly.
8896,8846,4,das Fischerboot,the fishing boat,N,Das Fischerboot entpuppte sich als Piratenboot.,The fishing boat turned out to be a pirate skiff.
8897,8847,4,rüde,rude / rudely,adj,"Er sagt, dass Sie rüde, brutal und nicht besonders klug sind.","He says you're rude, brutish, or not very smart."
8898,8848,4,das Kleinholz,the firewood,N,"Er zerbrach den Stuhl, um aus ihm Kleinholz fürs Feuer zu machen.",He broke up the chair for firewood.
8899,8849,4,das Brautpaar,the newlyweds,N,Also lasst uns die Gläser erheben und auf unser Brautpaar anstoßen.,So let's all raise a glass and toast to our newlyweds.
8900,8850,4,amtlich,official / officially,adj,Diese können erforderlichenfalls amtlich entnommen werden.,"Where necessary, samples may be taken officially."
8901,8851,4,einschnappen,to snap,vb,Die Linie sollte an der Hilfslinie einschnappen.,The line should snap to the construction line.
8902,8852,4,die Notbremse,the emergency brake,F,Aber das wird die Notbremse auslösen.,But that will set off the emergency brake.
8903,8853,4,der Riesenfehler,the huge mistake,M,"Ein Riesenfehler, zu dem mich meine Mutter zwang.","Well, that was a big mistake I let my mother pressurize me into."
8904,8854,4,Polster,cushion,N/M,Das steckte zwischen den Polstern der Rückbank.,This was wedged between the cushion and the seat-back.
8905,8855,4,gegenübertreten,to confront,vb,Ich musste zurückkehren und ihm gegenübertreten.,I had to go back and confront him.
8906,8856,4,kennzeichnen,to mark / identify,vb,"Vorsicht beim Wechseln, sie sind gekennzeichnet.","Be careful when you change them, they are marked."
8907,8857,4,meditieren,to meditate,vb,Einige der besten Mönche können vier Tage meditieren.,Some of the great monks can meditate for four days.
8908,8858,4,das Gebräu,the concoction,N,Er hält sein Gebräu verborgen und versiegelt.,He keeps his concoction hidden and sealed.
8909,8859,4,appellieren,to appeal,vb,Ich wollte an Ihre Anständigkeit appellieren.,I'd hoped to appeal to your sense of decency.
8910,8860,4,rausrutschen,to slip (coll),vb,"Ich sollte erklären, was mir da eben rausgerutscht ist.",I should explain about that slip of the tongue.
8911,8861,4,der Schwachsinn,the dementia,M,Wurden Sie jemals auf Schwachsinn getestet?,Have you ever been tested for dementia?
8912,8862,4,verheerend,devastating / disastrously,adj,Die Jugendarbeitslosigkeit von % in Spanien ist verheerend.,"Youth unemployment in Spain, at 44%, is devastating."
8913,8863,4,das Badehaus,the bathhouse,N,Wir haben bereits ein Badehaus restauriert.,We've already restored one bathhouse.
8914,8864,4,die Piste,the piste / runway,F,Rollen Sie es auf diese Piste und heben Sie ab.,Get on that runway and take off.
8915,8865,4,fürsorglich,caring,adj,"Du wärst eine großartige Mutter, fürsorglich, hilfsbereit und total erdrückend.","You would be a terrific mother, caring, supportive and completely"
8916,8866,4,die Redewendung,the expression,F,Diese Redewendung bedeutet aber etwas anderes.,That's not what that expression means.
8917,8867,4,vergänglich,fleeting,adj,"Schönheit und Liebe sind vergänglich, aber mächtig.",Beauty and love are fleeting but powerful.
8918,8868,4,das Schmiergeld,the bribe,N,Er hat dem Politiker ein hohes Schmiergeld angeboten.,He offered a big bribe to the politician.
8919,8869,4,halbnackt,half-naked,adj,Sie rannte halbnackt durch sein Wohnzimmer.,She was running around half-naked in his living room.
8920,8870,4,der Stabschef,the chief of staff,M,Ich habe viele Informationen über seinen Stabschef.,I have a lot of information about his chief of staff.
8921,8871,4,bereisen,to visit / travel,vb,Wir wollten doch zusammen die Welt bereisen.,We were going to travel the world together.
8922,8872,4,der Frevel,the outrage (fml),M,Dieser Frevel könnte zu unserem Vorteil sein.,This outrage could work to our advantage.
8923,8873,4,inhalieren,to inhale / inhalation,vb,"Nun, atmen, aber nicht inhalieren.","Well, breathe, but don't inhale."
8924,8874,4,unorthodox,unorthodox / unorthodoxly,adj,"Es ist unorthodox, ich weiß, aber nicht beispiellos.","It's unorthodox, I know, but not unheard of."
8925,8875,4,im,Endeffekt ultimately,phr,Das ist im Endeffekt die Grundfrage.,This is ultimately the key question.
8926,8876,4,das Patent,the patent,N,Das Patent wurde nun vollständig widerrufen.,The patent has now been revoked in its entirety.
8927,8877,4,die Gesinnung,the attitude,F,Das ist eine schändliche Gesinnung!,That is a disgraceful attitude!
8928,8878,4,der Mund,the mouth,M,Das hinterlässt einen schlechten Geschmack im Mund.,That will leave a bad taste in your mouth.
8929,8879,4,wühlen,to dig,vb,Ich würde an deiner Stelle nicht in der Vergangenheit wühlen.,"If I were you, I wouldn't dig into the past."
8930,8880,4,die Punktzahl,the score,F,"Trotzdem, volle Punktzahl bei Ihren Einstellungstests.","Still, a perfect score on your placement exam."
8931,8881,4,regeln,to regulate,vb,Das sollten die Mitgliedstaaten selbst regeln.,This is something that the Member States should regulate for themselves.
8932,8882,4,das Verb,the verb,N,Das Verb eines Satzes muss mit dem Subjekt bezüglich Numerus und Person,The verb of a sentence must agree with the subject in number and in person.
8933,8883,4,ausspielen,to display / play,vb,"Politiker haben gelernt, wie sie diese Karte sehr wirkungsvoll ausspielen",Politicians have learned how to play this card very effectively.
8934,8884,4,die Tarantel,the tarantula,F,Sie wurde von einer Tarantel gestochen.,She was bitten by a tarantula.
8935,8885,4,offenkundig,obvious / obviously,adj,Die Terroranschläge von Ende November komplizieren die Geschichte,"Obviously, the terrorist attacks of late November complicate this story."
8936,8886,4,vorherbestimmen,to predetermine,vb,Es wurde dieser Umstand von vielen Faktoren vorherbestimmt.,This circumstance was predetermined by many factors.
8937,8887,4,liebkosen,to caress,vb,"Wir alle müssen irgendwen berühren, liebkosen und streicheln.","We all need to touch, caress and fondle somebody."
8938,8888,4,die Statur,the stature / build,F,Er und John hatten fast die gleiche Größe und Statur.,But he and John were just about the same height and build.
8939,8889,4,das Pseudonym,the pseudonym,N,Bitte verwenden Sie für dieses Experiment ein Pseudonym.,Please use a pseudonym for the purpose of this experiment.
8940,8890,4,komischerweise,funnily enough,adv,"Und komischerweise, habe ich wirklich Spaß daran.","And funnily enough, I'm actually enjoying it."
8941,8891,4,das Kostüm,the costume,N,Sie trägt dieses Kostüm seit Tagen.,She's been in this costume for days.
8942,8892,4,das Entlein,the duckling,N,"Man kann sagen, sie ist das hässliche Entlein.",You might say she's the ugly duckling.
8943,8893,4,strategisch,strategically / strategic,adv,Die Kommission hat nunmehr fünf strategisch bedeutsame Aktionsbereiche,The Commission has now identified five focus areas of strategic importance.
8944,8894,4,überdauern,to outlive / survive,vb,Unser Land wird Leute wie Sie überdauern.,Our country will survive the likes of you.
8945,8895,4,die Provinz,the province,F,Die Provinz ist reich an Bodenschätzen.,The province is rich in mineral resources.
8946,8896,4,das Privateigentum,the private property,N,Das ist Privateigentum innerhalb des Parks.,It's private property within the park.
8947,8897,4,nachprüfen,to verify,vb,"Sie sollten aber nachprüfen, ob die Infos aus Büchern noch aktuell sind, ehe Sie","When it comes down to decision-making, verify the information as printed"
8948,8898,4,die Larve,the larva,F,"Man könnte sagen, er ist so was wie eine Larve.",You could say he's kind of like a larva.
8949,8899,4,beherbergen,to host / accommodate,vb,"Aber Poker ist ein Spiel der Strategie, dass mehrere Spieler beherbergen kann",But poker is a game of strategy that can accommodate several players and has
8950,8900,4,abtauchen,to disappear,vb,"Du musst die Stadt verlassen, für eine Weile abtauchen.","You need to leave town, disappear for a little while."
8951,8901,4,die Benefizveranstaltung,the fundraiser,F,Die heutige Benefizveranstaltung muss abgesagt werden.,
8952,8902,4,prall,bulging / plumply,adj,"Und egal, wie sehr ich versuche, ihn zu mästen, seine Muskeln sind immer prall.","And no matter how hard I try to fatten him up, his muscles are always"
8953,8903,4,der Fleischfresser,the carnivore,M,Primaten waren oft Beute großer Fleischfresser.,Primates were often prey to carnivores.
8954,8904,4,legitim,legitimate / legitimately,adj,"Das sieht recht legitim aus, diese Bevollmächtigung.","And this looks fairly legitimate, this is a letter of authorization."
8955,8905,4,vertiefen,to deepen,vb,Wir müssen die Koordinierungsarbeiten noch weiter vertiefen.,We also need to continue to deepen the work of coordination.
8956,8906,4,der Signalton,the beep,M,Solche Warnmeldungen sind ein hörbarer Signalton auf dem verwalteten,This alert is an audible beep at the managed server.
8957,8907,4,unentdeckt,undetected,adj,Millionen von Dollar fließen unentdeckt rein.,Millions of dollars flow in undetected.
8958,8908,4,die Sprengladung,the explosive charge,F,"Hier, die Sprengladung, um die Sie baten.",Here's that explosive charge you asked for.
8959,8909,4,zweifelhaft,doubtful / doubtfully,adj,"Es ist deshalb zweifelhaft, ob bestimmte Daten überhaupt isoliert betrachtet",It is doubtful therefore whether particular data could be considered in
8960,8910,4,verkohlen,to char,vb,"Weißt du, wie viel Hitze notwendig ist, um einen Knochen so zu verkohlen?",You know how much heat it would take to char a bone like this?
8961,8911,4,der Belang,the concern,M,Das ist natürlich von großem Belang.,"Obviously, this is of great concern."
8962,8912,4,entheben,to relieve,vb,"Zwingen Sie mich nicht, Sie auch Ihrer Pflichten zu entheben.",Don't force me to relieve you of duty as well.
8963,8913,4,die Wettervorhersage,the weather forecast,F,"Kein Problem, die Wettervorhersage finden Sie hier.","No problem, for the current weather forecast click here."
8964,8914,4,der Gepäckträger,the luggage carrier,M,"Gepäckträger für Fahrzeuge, insbesondere Campingfahrzeuge.","Luggage carrier for vehicles, especially for caravans."
8965,8915,4,duften,to smell,vb,Die Kleider meiner Mama duften noch nach ihr.,My mom's clothes still smell like her.
8966,8916,4,Abreibung,to beating (coll),vb,"Keinen Psychologen, sondern eine Abreibung!","Not a psychologist, but a good beating."
8967,8917,4,hinken,to limp,vb,Das würde seine Krücke und das Hinken erklären.,That would account for his cane and his limp.
8968,8918,4,die Befürchtung,the fear,F,Diese Befürchtung mündete in die Ausarbeitung strategischer Dokumente der,This fear has resulted in strategic documents drawn up both by the European
8969,8919,4,die Herberge,the hostel,F,Eine Herberge ist auch ideal für Strandurlaub.,A hostel is also an excellent option for beachgoers.
8970,8920,4,die Kaste,the caste,F,Aber die religiöse Kaste ist sehr freundlich.,But the religious caste is very friendly.
8971,8921,4,die Anomalie,the anomaly,F,Diese Anomalien sind schwer zu sehen.,These anomalies are very difficult to detect.
8972,8922,4,frühzeitig,early,adj,"Komme frühzeitig, damit wir die Vorhaben erörtern können.",Come early so we can discuss the plans.
8973,8923,4,ringsum,around,adv,Der Fluss trat über die Ufer und überflutete die Felder ringsum.,The river overflowed its banks and flooded the fields around it.
8974,8924,4,die Obduktion,the autopsy,F,Bei Selbstmorden gibt es eine Obduktion.,"When it's suicide, they do an autopsy."
8975,8925,4,die Keuschheit,the chastity,F,"Als Symbol ihrer Keuschheit, Tochter.","It's a symbol of their chastity, daughter."
8976,8926,4,buddeln,to dig (coll),vb,"Wenn ihr buddeln wollt, dann buddelt auf eurer Seite des Zauns.","Now, if you want to dig, dig on your side of the fence."
8977,8927,4,die Kaffeemaschine,the coffee machine,F,Mit der Kaffeemaschine stimmt etwas nicht.,There's something wrong with the coffee machine.
8978,8928,4,ausbeuten,to exploit,vb,"Ich lasse nicht zu, dass Sie meinen Sohn ausbeuten.",I will not let you exploit my son.
8979,8929,4,der Unterhändler,the negotiator,M,Aufgrund seiner Erfahrung als Unterhändler auf höchster EU-Ebene wird er,I believe his experience as a negotiator at the highest EU level will bear fruit.
8980,8930,4,die Paarung,the pairing / mating,F,Gewöhnlich werfen Frettchen einmal pro Jahr; die Paarung erfolgt im Frühjahr.,"Ferrets usually breed once a year, mating in the spring."
8981,8931,4,Yak,yak,M/N,M/N Wie unterscheidest du einen Bären von einem Yak?,How do I know a bear from a yak?
8982,8932,4,ausgleichen,to compensate,vb,Er wollte tatsächlich durch seine versprochenen Kürzungen den Haushalt,He really wanted to balance the budget by making the spending cuts that he
8983,8933,4,die Zündschnur,the fuse,F,"Ich habe die Zündschnur lang genug gelassen, dass du Zeit hast,",I made the fuse long enough so you'll have time to get out.
8984,8934,4,konform,to compliant,vb,"Wenn das verwaltete System konform ist, erhält es vollständigen","If the managed system is compliant, it is given full network access."
8985,8935,4,das Gesuch,the request / petition,N,Dieses Gesuch wurde inzwischen an die Behörden übermittelt.,This request has now been addressed to these authorities.
8986,8936,4,fortpflanzen,to procreate,vb,Und ich kann mich unter diesen Umständen einfach nicht fortpflanzen.,And I just can't procreate under these conditions!
8987,8937,4,anschalten,to turn on / connect,vb,Mein Computer lässt sich nicht anschalten oder hochfahren.,My computer does not turn on or start up successfully.
